player_name,team,age_2023,age_dummy
DJ Moore,CHI,26,0
Cooper Kupp,LAR,30,-1
Davante Adams,LV,30,-1
Mack Hollins,ATL,29,0
Michael Pittman Jr.,IND,25,0
Justin Jefferson,MIN,24,0
DeVonta Smith,PHI,24,0
Marquise Brown,ARI,26,0
Brandon Aiyuk,SF,25,0
Donovan Peoples-Jones,CLE,24,0
Diontae Johnson,PIT,27,0
Terry McLaurin,WAS,28,0
Adam Thielen,CAR,33,-1
Christian Kirk,JAX,26,0
CeeDee Lamb,DAL,24,0
Gabe Davis,BUF,24,0
A.J. Brown,PHI,26,0
Parris Campbell,NYG,26,0
Amari Cooper,CLE,29,0
Allen Robinson II,PIT,30,-1
Darnell Mooney,CHI,25,0
Zay Jones,JAX,28,0
DK Metcalf,SEA,25,0
Mike Evans,TB,30,-1
Garrett Wilson,NYJ,23,0
Allen Lazard,NYJ,27,0
Robert Woods,HOU,31,-1
Drake London,ATL,22,0
Courtland Sutton,DEN,27,0
Stefon Diggs,BUF,29,0
George Pickens,PIT,22,0
Tyreek Hill,MIA,29,0
Joshua Palmer,LAC,24,0
Nick Westbrook-Ikhine,TEN,26,0
K.J. Osborn,MIN,26,0
Jaylen Waddle,MIA,24,0
DeAndre Hopkins,TEN,31,-1
Tyler Lockett,SEA,30,-1
Amon-Ra St. Brown,DET,23,0
Chris Godwin,TB,27,0
Tyler Boyd,CIN,28,0
Ja'Marr Chase,CIN,23,0
Curtis Samuel,WAS,27,0
Noah Brown,HOU,27,0
Olamide Zaccheaus,PHI,26,0
Devin Duvernay,BAL,26,0
Tee Higgins,CIN,24,0
Ben Skowronek,LAR,26,0
Marquez Valdes-Scantling,KC,28,0
JuJu Smith-Schuster,NE,26,0
Elijah Moore,CLE,23,0
Jakobi Meyers,LV,26,0
Tyquan Thornton,NE,23,0
Van Jefferson,LAR,27,0
Chris Moore,TEN,30,-1
Michael Gallup,DAL,27,0
Terrace Marshall Jr.,CAR,23,0
Alec Pierce,IND,23,0
Jerry Jeudy,DEN,24,0
Marvin Jones Jr.,DET,33,-1
Brandin Cooks,DAL,29,0
Chase Claypool,MIA,25,0
Darius Slayton,NYG,26,0
Deebo Samuel,SF,27,0
DJ Chark Jr.,CAR,27,0
Mike Williams,LAC,28,0
DeAndre Carter,LV,30,-1
Demarcus Robinson,LAR,29,0
Quez Watkins,PHI,25,0
Chris Olave,NO,23,0
Trent Sherfield,BUF,27,0
Corey Davis,NYJ,28,0
Isaiah Hodgins,NYG,25,0
Jahan Dotson,WAS,23,0
Josh Reynolds,DET,28,0
Equanimeous St. Brown,CHI,27,0
DeVante Parker,NE,30,-1
Nico Collins,HOU,24,0
Isaiah McKenzie,IND,28,0
Dante Pettis,CHI,28,0
Hunter Renfrow,LV,27,0
Rondale Moore,ARI,23,0
Treylon Burks,TEN,23,0
Kalif Raymond,DET,29,0