player_name,team,competition_change
DJ Moore,CHI,1
Cooper Kupp,LAR,0
Davante Adams,LV,0
Mack Hollins,ATL,1
Michael Pittman Jr.,IND,0
Justin Jefferson,MIN,0
DeVonta Smith,PHI,0
Marquise Brown,ARI,0
Brandon Aiyuk,SF,0
Donovan Peoples-Jones,CLE,-1
Diontae Johnson,PIT,0
Terry McLaurin,WAS,0
Adam Thielen,CAR,1
Christian Kirk,JAX,-1
CeeDee Lamb,DAL,0
Gabe Davis,BUF,0
A.J. Brown,PHI,0
Parris Campbell,NYG,1
Amari Cooper,CLE,0
Allen Robinson II,PIT,-1
Darnell Mooney,CHI,-1
Zay Jones,JAX,-1
DK Metcalf,SEA,0
Mike Evans,TB,0
Garrett Wilson,NYJ,0
Allen Lazard,NYJ,-1
Robert Woods,HOU,1
Drake London,ATL,0
Courtland Sutton,DEN,0
Stefon Diggs,BUF,0
George Pickens,PIT,0
Tyreek Hill,MIA,0
Joshua Palmer,LAC,-1
Nick Westbrook-Ikhine,TEN,-1
K.J. Osborn,MIN,0
Jaylen Waddle,MIA,0
DeAndre Hopkins,TEN,1
Tyler Lockett,SEA,0
Amon-Ra St. Brown,DET,0
Chris Godwin,TB,0
Tyler Boyd,CIN,0
Ja'Marr Chase,CIN,0
Curtis Samuel,WAS,0
Noah Brown,HOU,1
Olamide Zaccheaus,PHI,1
Devin Duvernay,BAL,-1
Tee Higgins,CIN,0
Ben Skowronek,LAR,-1
Marquez Valdes-Scantling,KC,0
JuJu Smith-Schuster,NE,1
Elijah Moore,CLE,1
Jakobi Meyers,LV,-1
Tyquan Thornton,NE,0
Van Jefferson,LAR,0
Chris Moore,TEN,0
Michael Gallup,DAL,0
Terrace Marshall Jr.,CAR,0
Alec Pierce,IND,0
Jerry Jeudy,DEN,0
Marvin Jones Jr.,DET,-1
Brandin Cooks,DAL,1
Chase Claypool,MIA,-1
Darius Slayton,NYG,0
Deebo Samuel,SF,0
DJ Chark Jr.,CAR,1
Mike Williams,LAC,0
DeAndre Carter,LV,0
Demarcus Robinson,LAR,0
Quez Watkins,PHI,0
Chris Olave,NO,0
Trent Sherfield,BUF,0
Corey Davis,NYJ,-1
Isaiah Hodgins,NYG,0
Jahan Dotson,WAS,0
Josh Reynolds,DET,0
Equanimeous St. Brown,CHI,-1
DeVante Parker,NE,0
Nico Collins,HOU,0
Isaiah McKenzie,IND,0
Dante Pettis,CHI,-1
Hunter Renfrow,LV,-1
Rondale Moore,ARI,0
Treylon Burks,TEN,-1
Kalif Raymond,DET,0