player_name,team,qb_skill
DJ Moore,CHI,0
Cooper Kupp,LAR,0
Davante Adams,LV,1
Mack Hollins,ATL,0
Michael Pittman Jr.,IND,0
Justin Jefferson,MIN,0
DeVonta Smith,PHI,1
Marquise Brown,ARI,-1
Brandon Aiyuk,SF,1
Donovan Peoples-Jones,CLE,-1
Diontae Johnson,PIT,-1
Terry McLaurin,WAS,-1
Adam Thielen,CAR,0
Christian Kirk,JAX,1
CeeDee Lamb,DAL,0
Gabe Davis,BUF,1
A.J. Brown,PHI,1
Parris Campbell,NYG,0
Amari Cooper,CLE,-1
Allen Robinson II,PIT,-1
Darnell Mooney,CHI,0
Zay Jones,JAX,1
DK Metcalf,SEA,1
Mike Evans,TB,-1
Garrett Wilson,NYJ,0
Allen Lazard,NYJ,0
Robert Woods,HOU,0
Drake London,ATL,0
Courtland Sutton,DEN,-1
Stefon Diggs,BUF,1
George Pickens,PIT,-1
Tyreek Hill,MIA,1
Joshua Palmer,LAC,0
Nick Westbrook-Ikhine,TEN,0
K.J. Osborn,MIN,0
Jaylen Waddle,MIA,1
DeAndre Hopkins,TEN,0
Tyler Lockett,SEA,1
Amon-Ra St. Brown,DET,1
Chris Godwin,TB,-1
Tyler Boyd,CIN,1
Ja'Marr Chase,CIN,1
Curtis Samuel,WAS,-1
Noah Brown,HOU,0
Olamide Zaccheaus,PHI,1
Devin Duvernay,BAL,0
Tee Higgins,CIN,1
Ben Skowronek,LAR,0
Marquez Valdes-Scantling,KC,1
JuJu Smith-Schuster,NE,-1
Elijah Moore,CLE,-1
Jakobi Meyers,LV,1
Tyquan Thornton,NE,-1
Van Jefferson,LAR,0
Chris Moore,TEN,0
Michael Gallup,DAL,0
Terrace Marshall Jr.,CAR,0
Alec Pierce,IND,0
Jerry Jeudy,DEN,-1
Marvin Jones Jr.,DET,1
Brandin Cooks,DAL,0
Chase Claypool,MIA,1
Darius Slayton,NYG,0
Deebo Samuel,SF,1
DJ Chark Jr.,CAR,0
Mike Williams,LAC,0
DeAndre Carter,LV,1
Demarcus Robinson,LAR,0
Quez Watkins,PHI,1
Chris Olave,NO,0
Trent Sherfield,BUF,1
Corey Davis,NYJ,0
Isaiah Hodgins,NYG,0
Jahan Dotson,WAS,-1
Josh Reynolds,DET,1
Equanimeous St. Brown,CHI,0
DeVante Parker,NE,-1
Nico Collins,HOU,0
Isaiah McKenzie,IND,0
Dante Pettis,CHI,0
Hunter Renfrow,LV,1
Rondale Moore,ARI,-1
Treylon Burks,TEN,0
Kalif Raymond,DET,1