player_name,snap_pct
DJ Moore,96.3
Cooper Kupp,95.2
Davante Adams,94.7
Mack Hollins,93.5
Michael Pittman Jr.,92.5
Justin Jefferson,92.4
DeVonta Smith,91.9
Marquise Brown,91.2
Brandon Aiyuk,91.1
Donovan Peoples-Jones,89.9
Diontae Johnson,89.8
Terry McLaurin,89.3
Adam Thielen,89.2
Christian Kirk,88.2
CeeDee Lamb,87.3
Gabe Davis,85.3
A.J. Brown,85.2
Parris Campbell,85.1
Amari Cooper,83.3
Allen Robinson II,83.3
Darnell Mooney,83.2
Zay Jones,82.8
DK Metcalf,81.7
Mike Evans,80.9
Sterling Shepard,80.5
Garrett Wilson,79.4
Allen Lazard,78.9
Robert Woods,78.2
Drake London,77.9
Courtland Sutton,77.6
Stefon Diggs,77.1
George Pickens,76
Tyreek Hill,75.7
Joshua Palmer,75.3
Nick Westbrook-Ikhine,75.1
K.J. Osborn,74.7
Jaylen Waddle,74.3
DeAndre Hopkins,73.6
Tyler Lockett,73.1
Amon-Ra St. Brown,72.9
Chris Godwin,72.4
Tyler Boyd,72
Ja'Marr Chase,71.6
Curtis Samuel,71.4
Noah Brown,70.7
Olamide Zaccheaus,70.1
Devin Duvernay,69.1
Tee Higgins,68.4
Ben Skowronek,68
Marquez Valdes-Scantling,67.6
JuJu Smith-Schuster,66.6
Elijah Moore,65.6
Jakobi Meyers,65.6
Tyquan Thornton,65.6
Van Jefferson,64.6
Chris Moore,63.8
Michael Gallup,63.5
Terrace Marshall Jr.,63.5
Alec Pierce,63
Jerry Jeudy,62.8
Marvin Jones Jr.,62.3
Brandin Cooks,61.8
Chase Claypool,61.7
Darius Slayton,61.5
Deebo Samuel,59.9
DJ Chark Jr.,59.4
Mike Williams,59
DeAndre Carter,58.6
Demarcus Robinson,58.1
Quez Watkins,57.8
Chris Olave,57.7
Trent Sherfield,57.7
Corey Davis,55.4
Isaiah Hodgins,55.2
Jahan Dotson,54.7
Josh Reynolds,54.7
Equanimeous St. Brown,53.7
DeVante Parker,51.8
Nico Collins,51.3
Isaiah McKenzie,51.2
Dante Pettis,50.7
Hunter Renfrow,49.1
Rondale Moore,48.9
Treylon Burks,48.9
Kalif Raymond,48.6
Chris Moore,63.8
Michael Gallup,63.5
Terrace Marshall Jr.,63.5
Alec Pierce,63
Jerry Jeudy,62.8
Marvin Jones Jr.,62.3
Brandin Cooks,61.8
Chase Claypool,61.7
Darius Slayton,61.5
Deebo Samuel,59.9
DJ Chark Jr.,59.4
Mike Williams,59
DeAndre Carter,58.6
Demarcus Robinson,58.1
Quez Watkins,57.8
Chris Olave,57.7
Trent Sherfield,57.7
Corey Davis,55.4
Isaiah Hodgins,55.2
Jahan Dotson,54.7
Josh Reynolds,54.7
Equanimeous St. Brown,53.7
DeVante Parker,51.8
Nico Collins,51.3
Isaiah McKenzie,51.2
Dante Pettis,50.7
Hunter Renfrow,49.1
Rondale Moore,48.9
Treylon Burks,48.9
Kalif Raymond,48.6