player_name,team,target_share
DJ Moore,CHI,0.2763
Cooper Kupp,LAR,0.3091
Davante Adams,LV,0.3226
Mack Hollins,ATL,0.1685
Michael Pittman Jr.,IND,0.2564
Justin Jefferson,MIN,0.2871
DeVonta Smith,PHI,0.2693
Marquise Brown,ARI,0.2362
Brandon Aiyuk,SF,0.2262
Donovan Peoples-Jones,CLE,0.1893
Diontae Johnson,PIT,0.2682
Terry McLaurin,WAS,0.226
Adam Thielen,CAR,0.1669
Christian Kirk,JAX,0.2317
CeeDee Lamb,DAL,0.2862
Gabe Davis,BUF,0.1816
A.J. Brown,PHI,0.2871
Parris Campbell,NYG,0.1572
Amari Cooper,CLE,0.2604
Allen Robinson II,PIT,0.1512
Darnell Mooney,CHI,0.2521
Zay Jones,JAX,0.2196
DK Metcalf,SEA,0.255
Mike Evans,TB,0.1857
Garrett Wilson,NYJ,0.25
Allen Lazard,NYJ,0.2101
Robert Woods,HOU,0.2087
Drake London,ATL,0.2925
Courtland Sutton,DEN,0.2309
Stefon Diggs,BUF,0.2795
George Pickens,PIT,0.1533
Tyreek Hill,MIA,0.3025
Joshua Palmer,LAC,0.1682
Nick Westbrook-Ikhine,TEN,0.1147
K.J. Osborn,MIN,0.1404
Jaylen Waddle,MIA,0.2082
DeAndre Hopkins,TEN,0.2936
Tyler Lockett,SEA,0.2272
Amon-Ra St. Brown,DET,0.2786
Chris Godwin,TB,0.2181
Tyler Boyd,CIN,0.138
Ja'Marr Chase,CIN,0.2932
Curtis Samuel,WAS,0.1733
Noah Brown,HOU,0.1426
Olamide Zaccheaus,PHI,0.1525
Devin Duvernay,BAL,0.1266
Tee Higgins,CIN,0.1835
Ben Skowronek,LAR,0.1365
Marquez Valdes-Scantling,KC,0.1319
JuJu Smith-Schuster,NE,0.1732
Elijah Moore,CLE,0.115
Jakobi Meyers,LV,0.2217
Tyquan Thornton,NE,0.1119
Van Jefferson,LAR,0.1492
Chris Moore,TEN,0.1386
Michael Gallup,DAL,0.1667
Terrace Marshall Jr.,CAR,0.1281
Alec Pierce,IND,0.1418
Jerry Jeudy,DEN,0.2079
Marvin Jones Jr.,DET,0.1467
Brandin Cooks,DAL,0.2071
Chase Claypool,MIA,0.1779
Darius Slayton,NYG,0.1517
Deebo Samuel,SF,0.2368
DJ Chark Jr.,CAR,0.1361
Mike Williams,LAC,0.1799
DeAndre Carter,LV,0.0946
Demarcus Robinson,LAR,0.1613
Quez Watkins,PHI,0.101
Chris Olave,NO,0.2656
Trent Sherfield,BUF,0.0907
Corey Davis,NYJ,0.1345
Isaiah Hodgins,NYG,0.1364
Jahan Dotson,WAS,0.1589
Josh Reynolds,DET,0.1207
Equanimeous St. Brown,CHI,0.1141
DeVante Parker,NE,0.1187
Nico Collins,HOU,0.1902
Isaiah McKenzie,IND,0.1262
Dante Pettis,CHI,0.1145
Hunter Renfrow,LV,0.1515
Rondale Moore,ARI,0.1951
Treylon Burks,TEN,0.1753
Kalif Raymond,DET,0.1137