player_name,snaps
DeVonta Smith,"1,083"
Justin Jefferson,"1,079"
Michael Pittman Jr.,"1,065"
Terry McLaurin,"1,063"
Donovan Peoples-Jones,"1,055"
Davante Adams,"1,044"
Diontae Johnson,"1,042"
Adam Thielen,"1,042"
Mack Hollins,"1,030"
CeeDee Lamb,"1,015"
A.J. Brown,"1,004"
Brandon Aiyuk,"1,002"
Christian Kirk,991
Parris Campbell,980
DJ Moore,978
Amari Cooper,978
Zay Jones,930
Mike Evans,927
Gabe Davis,926
Joshua Palmer,898
DK Metcalf,893
Garrett Wilson,884
George Pickens,882
Courtland Sutton,882
Chris Godwin,880
K.J. Osborn,873
Allen Lazard,863
Curtis Samuel,850
Stefon Diggs,836
Amon-Ra St. Brown,832
Noah Brown,822
Drake London,819
Robert Woods,809
Tyreek Hill,800
Tyler Lockett,799
Tyler Boyd,797
Ja'Marr Chase,793
Jaylen Waddle,785
Marquise Brown,783
Marquez Valdes-Scantling,777
JuJu Smith-Schuster,765
Tee Higgins,746
Nick Westbrook-Ikhine,742
Michael Gallup,738
Olamide Zaccheaus,737
Alec Pierce,725
Jerry Jeudy,713
Elijah Moore,704
Mike Williams,703
Marvin Jones Jr.,700
DeAndre Carter,698
Ben Skowronek,696
Darius Slayton,695
Jakobi Meyers,690
Quez Watkins,681
Chase Claypool,662
Deebo Samuel Sr.,659
Brandin Cooks,658
Jahan Dotson,651
Chris Moore,644
Terrace Marshall Jr.,639
Devin Duvernay,632
Demarcus Robinson,622
Corey Davis,617
Darnell Mooney,612
Chris Olave,607
Josh Reynolds,577
Trent Sherfield Sr.,569
Allen Robinson II,562
Isaiah McKenzie,555
Equanimeous St. Brown,555
Kalif Raymond,555
DeAndre Hopkins,555
DeVante Parker,545
DJ Chark Jr.,534
Cooper Kupp,530
Romeo Doubs,529
Russell Gage Jr.,529
Dante Pettis,524
Richie James Jr.,524
David Bell,516
Keenan Allen,515
Greg Dortch,513
Christian Watson,507
Tyquan Thornton,507
Justin Watson,494
Jauan Jennings,489
Shi Smith,482
Van Jefferson,467
Phillip Dorsett II,465
Kendall Hinton,460
Rondale Moore,459
Nelson Agholor,455
Kendrick Bourne,441
Nico Collins,441
Isaiah Hodgins,430
Robbie Chosen,424
Marquise Goodwin,420
Treylon Burks,393
A.J. Green,381
Hunter Renfrow,377
Randall Cobb,371
Keelan Cole Sr.,356
Julio Jones,351
Marquez Callaway,325
Sammy Watkins,324
Tre'Quan Smith,318
Tutu Atwell,308
Mecole Hardman Jr.,303
Jarvis Landry,301
Cam Sims,301
Rashid Shaheed,298
Trenton Irwin,287
Steven Sims Jr.,284
Damiere Byrd,279
Marcus Johnson,279
Byron Pringle,265
Denzel Mims,265
Scotty Miller,247