player_name,age,age_dummy
DeVonta Smith,25,0
Alec Pierce,24,0
Michael Pittman Jr.,27,0
Davante Adams,31,-1
Garrett Wilson,24,0
Adam Thielen,34,-1
Cooper Kupp,31,-1
Amon-Ra St. Brown,25,0
DJ Moore,27,0
Jakobi Meyers,27,0
Jonathan Mingo,23,0
Keenan Allen,32,-1
A.J. Brown,27,0
Ja'Marr Chase,24,0
George Pickens,23,0
Puka Nacua,23,0
Zay Flowers,23,0
Terry McLaurin,29,0
Marquise Brown,27,0
Justin Jefferson,25,0
Calvin Ridley,29,0
DK Metcalf,26,0
CeeDee Lamb,25,0
Gabe Davis,25,0
Brandon Aiyuk,26,0
Jahan Dotson,24,0
Jordan Addison,22,0
Stefon Diggs,30,-1
Drake London,23,0
Chris Godwin,28,0
Darius Slayton,27,0
Michael Wilson,24,0
Tyler Lockett,32,-1
Amari Cooper,30,-1
K.J. Osborn,27,0
Mike Evans,31,-1
Courtland Sutton,28,0
Romeo Doubs,24,0
Christian Watson,25,0
Tyler Boyd,29,0
Allen Lazard,28,0
DJ Chark Jr.,27,0
Joshua Palmer,25,0
Darnell Mooney,26,0
Tee Higgins,25,0
Deebo Samuel,28,0
Chris Olave,24,0
Brandin Cooks,30,-1
DeVante Parker,31,-1
Elijah Moore,24,0
Zay Jones,29,0
Kendrick Bourne,29,0
Allen Robinson II,31,-1
DeAndre Hopkins,32,-1
Josh Reynolds,29,0
Diontae Johnson,28,0
Christian Kirk,27,0
Robert Woods,32,-1
Nick Westbrook-Ikhine,27,0
Josh Downs,23,0
Nico Collins,25,0
Jaylen Waddle,25,0
Rondale Moore,24,0
Tyreek Hill,30,-1
Tank Dell,24,0
Jerry Jeudy,25,0
Wan'Dale Robinson,23,0
Trey Palmer,23,0
Quentin Johnston,22,0
JuJu Smith-Schuster,27,0
Jason Brownlee,25,0
Jaxon Smith-Njigba,22,0
Tutu Atwell,24,0
Treylon Burks,24,0
Alex Erickson,31,-1
Cedric Tillman,24,0
Rashee Rice,24,0
Rashid Shaheed,26,0
Rashod Bateman,24,0
Chris Moore,31,-1
Jayden Reed,24,0
Cedrick Wilson Jr.,28,0
Terrace Marshall Jr.,24,0
Curtis Samuel,28,0
DeMario Douglas,23,0
Van Jefferson,28,0
Skyy Moore,23,0
Jameson Williams,23,0
A.T. Perry,24,0
Michael Gallup,28,0
Khalil Shakir,24,0
Nelson Agholor,31,-1
Justin Watson,28,0
Odell Beckham Jr.,31,-1
Jalin Hyatt,23,0
Xavier Gipson,23,0
Quez Watkins,25,0
Jalen Guyton,27,0
Donovan Peoples-Jones,25,0
Brandon Johnson,26,0
Jalen Reagor,25,0