player_name,ftps_2024
DeVonta Smith,199.4
Alec Pierce,161.4
Michael Pittman Jr.,165.8
Davante Adams,241.3
Garrett Wilson,251.9
Adam Thielen,139.5
Cooper Kupp,175
Amon-Ra St. Brown,316.2
DJ Moore,238.1
Jakobi Meyers,218
Jonathan Mingo,32.2
Keenan Allen,185.4
A.J. Brown,216.9
Ja'Marr Chase,403
George Pickens,164.4
Puka Nacua,206.6
Zay Flowers,209.5
Terry McLaurin,267.8
Marquise Brown,18.1
Justin Jefferson,317.5
Calvin Ridley,199.2
DK Metcalf,191.2
CeeDee Lamb,263.4
Gabe Davis,53.9
Brandon Aiyuk,62.4
Jahan Dotson,41.9
Jordan Addison,212.5
Stefon Diggs,121.9
Drake London,280.8
Chris Godwin,137.8
Darius Slayton,110
Michael Wilson,124.5
Tyler Lockett,121
Amari Cooper,122.7
K.J. Osborn,18.7
Mike Evans,240.4
Courtland Sutton,240.3
Romeo Doubs,132.1
Christian Watson,105.3
Tyler Boyd,78.3
Allen Lazard,126
DJ Chark Jr.,13.1
Joshua Palmer,107.4
Darnell Mooney,193.2
Tee Higgins,222.1
Deebo Samuel,153.6
Chris Olave,76.7
Brandin Cooks,69.6
Elijah Moore,120.9
Zay Jones,16.4
Kendrick Bourne,65.1
Allen Robinson II,6
DeAndre Hopkins,147
Josh Reynolds,38.4
Diontae Johnson,89.1
Christian Kirk,70.9
Robert Woods,38.3
Nick Westbrook-Ikhine,135.7
Josh Downs,183.5
Nico Collins,210.6
Jaylen Waddle,149.6
Tyreek Hill,218.2
Tank Dell,140
Jerry Jeudy,240.9
Wan'Dale Robinson,182.7
Trey Palmer,35.2
Quentin Johnston,174.7
JuJu Smith-Schuster,53.1
Jaxon Smith-Njigba,253
Tutu Atwell,98.9
Treylon Burks,7.5
Cedric Tillman,80.4
Rashee Rice,64.9
Rashid Shaheed,79.8
Rashod Bateman,174.6
Jayden Reed,197
Cedrick Wilson Jr.,49.9
Terrace Marshall Jr.,7.1
Curtis Samuel,63.7
DeMario Douglas,147.7
Van Jefferson,63.6
Jameson Williams,212.2
Khalil Shakir,182.5
Nelson Agholor,49.1
Odell Beckham Jr.,14.5
Jalin Hyatt,14.2
Xavier Gipson,14.4
Brandon Johnson,1.9
Jalen Reagor,14.7