player_name,target_share
DeVonta Smith,0.2276
Alec Pierce,0.119
Michael Pittman Jr.,0.3053
Davante Adams,0.3296
Garrett Wilson,0.2984
Adam Thielen,0.2566
Cooper Kupp,0.2554
Amon-Ra St. Brown,0.2998
DJ Moore,0.2851
Jakobi Meyers,0.2087
Jonathan Mingo,0.1753
Keenan Allen,0.3198
A.J. Brown,0.301
Ja'Marr Chase,0.2627
George Pickens,0.219
Puka Nacua,0.2883
Zay Flowers,0.24
Terry McLaurin,0.2196
Marquise Brown,0.228
Justin Jefferson,0.2681
Calvin Ridley,0.2241
DK Metcalf,0.2275
CeeDee Lamb,0.2992
Gabe Davis,0.1486
Brandon Aiyuk,0.2403
Jahan Dotson,0.1381
Jordan Addison,0.1769
Stefon Diggs,0.2936
Drake London,0.2321
Chris Godwin,0.2364
Darius Slayton,0.1629
Michael Wilson,0.1368
Tyler Lockett,0.223
Amari Cooper,0.2357
K.J. Osborn,0.1309
Mike Evans,0.2473
Courtland Sutton,0.2013
Romeo Doubs,0.1711
Christian Watson,0.1767
Tyler Boyd,0.1655
Allen Lazard,0.1054
DJ Chark Jr.,0.1407
Joshua Palmer,0.1718
Darnell Mooney,0.1415
Tee Higgins,0.1788
Deebo Samuel,0.216
Chris Olave,0.2505
Brandin Cooks,0.1426
DeVante Parker,0.1403
Elijah Moore,0.1742
Zay Jones,0.1834
Kendrick Bourne,0.2022
Allen Robinson II,0.1012
DeAndre Hopkins,0.2866
Josh Reynolds,0.1115
Diontae Johnson,0.2351
Christian Kirk,0.2083
Robert Woods,0.1569
Nick Westbrook-Ikhine,0.1119
Josh Downs,0.1795
Nico Collins,0.2211
Jaylen Waddle,0.2254
Rondale Moore,0.1148
Tyreek Hill,0.3276
Tank Dell,0.205
Jerry Jeudy,0.1955
Wan'Dale Robinson,0.1853
Trey Palmer,0.1236
Quentin Johnston,0.1091
JuJu Smith-Schuster,0.1288
Jason Brownlee,N/A
Jaxon Smith-Njigba,0.17
Tutu Atwell,0.1281
Treylon Burks,0.0952
Alex Erickson,0.097
Cedric Tillman,0.0882
Rashee Rice,0.1793
Rashid Shaheed,0.142
Rashod Bateman,0.1223
Chris Moore,0.0732
Jayden Reed,0.1757
Cedrick Wilson Jr.,0.08
Terrace Marshall Jr.,0.0971
Curtis Samuel,0.1634
DeMario Douglas,0.1717
Van Jefferson,0.0785
Skyy Moore,0.076
Jameson Williams,0.1002
A.T. Perry,0.057
Michael Gallup,0.0942
Khalil Shakir,0.0826
Nelson Agholor,0.0945
Justin Watson,0.095
Odell Beckham Jr.,0.1592
Jalin Hyatt,0.0825
Xavier Gipson,0.0675
Quez Watkins,0.0686
Jalen Guyton,0.0734
Donovan Peoples-Jones,0.0501
Brandon Johnson,0.0796
Jalen Reagor,0.063